iter	Logloss
0	0.6927294125
1	0.6923797961
2	0.6919264118
3	0.6916113756
4	0.6914007298
5	0.6910126966
6	0.6907519199
7	0.690522136
8	0.6902168603
9	0.6898944858
10	0.6895334713
11	0.6892961781
12	0.689012077
13	0.6885899286
14	0.6882078617
15	0.6877931383
16	0.6876157822
17	0.6871986113
18	0.6869991604
19	0.6866188102
20	0.6863527326
21	0.6860414424
22	0.6857671499
23	0.6854607494
24	0.685107228
25	0.6849109804
26	0.6845745875
27	0.6842006701
28	0.683880821
29	0.6835388603
30	0.6833005798
31	0.6830417545
32	0.6827437676
33	0.6825180397
34	0.6823332278
35	0.6821068659
36	0.6817380881
37	0.6815348827
38	0.6813764781
39	0.6811670071
40	0.6808969485
41	0.6804915698
42	0.6801293418
43	0.6799219901
44	0.6796073347
45	0.6793572825
46	0.6791784855
47	0.6788405503
48	0.6785716191
49	0.6782408827
50	0.6780893491
51	0.6778364682
52	0.6776091374
53	0.6774244383
54	0.6772297557
55	0.6770782819
56	0.6768605896
57	0.6765371143
58	0.6763417172
59	0.6759054779
60	0.6755796346
61	0.6754150626
62	0.6751979707
63	0.674937957
64	0.6746311596
65	0.6743438099
66	0.6740929122
67	0.6738762736
68	0.673567748
69	0.6733182089
70	0.673104609
71	0.6728930681
72	0.6727742583
73	0.6725750978
74	0.6723370218
75	0.6720527566
76	0.6718324441
77	0.6715866031
78	0.6712829175
79	0.6711060035
80	0.6708840767
81	0.6707421522
82	0.6704855219
83	0.6701054933
84	0.6698726912
85	0.6696602103
86	0.6694323289
87	0.6692058132
88	0.6689321072
89	0.6685845853
90	0.6683063863
91	0.6679952901
92	0.6676249786
93	0.6674445946
94	0.667256615
95	0.6670265742
96	0.6668705109
97	0.6666370795
98	0.666403172
99	0.6662912176
100	0.6659839102
101	0.6658153006
102	0.6655722134
103	0.6652082649
104	0.6650825671
105	0.6649853685
106	0.6648122542
107	0.6646698026
108	0.6643477189
109	0.6642316445
110	0.6640627183
111	0.663901732
112	0.6635877382
113	0.6632925587
114	0.663124257
115	0.6627959449
116	0.6624664475
117	0.6622885359
118	0.662040488
119	0.6618985343
120	0.6616701468
121	0.6614214138
122	0.6609370101
123	0.6607740872
124	0.6605968925
125	0.6603380551
126	0.6600689442
127	0.6598544718
128	0.6595416506
129	0.659295525
130	0.6590189022
131	0.6587223165
132	0.6584304873
133	0.6582952118
134	0.6581323869
135	0.6578839248
136	0.6577080732
137	0.657470829
138	0.6571092748
139	0.6568826109
140	0.6567177129
141	0.656417269
142	0.656282168
143	0.6560678942
144	0.6559426925
145	0.6557519101
146	0.6554701711
147	0.6551568417
148	0.6550514233
149	0.6549692367
150	0.6546453712
151	0.6545435679
152	0.6543576447
153	0.6541128449
154	0.6539821829
155	0.6537255218
156	0.6535701244
157	0.6533661895
158	0.653176504
159	0.6529643985
160	0.6528864479
161	0.6526747187
162	0.6524774469
163	0.6523315001
164	0.6520599184
165	0.6518873392
166	0.6516818954
167	0.6514482475
168	0.6512474558
169	0.651070538
170	0.6509023862
171	0.65064353
172	0.6504775862
173	0.6502844152
174	0.6500622995
175	0.649901436
176	0.6495135035
177	0.6493660909
178	0.6492401304
179	0.6490416312
180	0.6487942061
181	0.6485057711
182	0.6483858122
183	0.6482230971
184	0.6480147044
185	0.6478438792
186	0.6476730845
187	0.6474071404
188	0.6472531272
189	0.6470913759
190	0.6468901878
191	0.6466405007
192	0.6463755195
193	0.6462140215
194	0.6460533998
195	0.6458618755
196	0.6457334779
197	0.6455632741
198	0.6455382113
199	0.6453791281
200	0.6452079227
201	0.6450161762
202	0.6448523891
203	0.6447867599
204	0.6446400872
205	0.6444390086
206	0.6442034662
207	0.6439336353
208	0.6437221458
209	0.6434466297
210	0.6433171438
211	0.6431229272
212	0.6429114826
213	0.6427280839
214	0.6425624446
215	0.6424448649
216	0.642166708
217	0.6418723794
218	0.6416080833
219	0.6413133329
220	0.6412534863
221	0.641076948
222	0.6408818685
223	0.6406947038
224	0.6404139593
225	0.640137317
226	0.6400007861
227	0.6398166931
228	0.6395536638
229	0.6393130057
230	0.6390785828
231	0.6389335297
232	0.6388532775
233	0.6387466681
234	0.6386276936
235	0.6384487261
236	0.6382411048
237	0.6379215627
238	0.6378131901
239	0.6376991617
240	0.6375724583
241	0.6373656029
242	0.6372754188
243	0.6370143647
244	0.6368077539
245	0.6366749372
246	0.6365997259
247	0.6364621552
248	0.6363429902
249	0.6362438017
250	0.6361321773
251	0.6360306601
252	0.6359499259
253	0.6358017464
254	0.6354795218
255	0.6353149841
256	0.6351425255
257	0.6350497485
258	0.6347851466
259	0.6345330011
260	0.6341934312
261	0.6340148358
262	0.6338381187
263	0.6337100573
264	0.6335001059
265	0.6333242325
266	0.6332493413
267	0.633066045
268	0.6328937221
269	0.6326782607
270	0.6325605377
271	0.6324027432
272	0.6321342563
273	0.6318693024
274	0.6316995449
275	0.6315666649
276	0.6313733984
277	0.6311549544
278	0.6310246365
279	0.6308249138
280	0.6306423199
281	0.6305493595
282	0.630384044
283	0.6301558042
284	0.6300347314
285	0.6298349109
286	0.6294835241
287	0.6291559642
288	0.6290499265
289	0.6289416033
290	0.6288515129
291	0.6284958035
292	0.6282295964
293	0.6279104517
294	0.6277766779
295	0.6276247825
296	0.6273126948
297	0.6271694557
298	0.6270302671
299	0.6268197022
300	0.6265432039
301	0.6264597644
302	0.6263709516
303	0.6261874785
304	0.6260347417
305	0.6258306122
306	0.6256058879
307	0.6255051357
308	0.6254052303
309	0.6253044154
310	0.6252180382
311	0.624946392
312	0.6247747293
313	0.6244124439
314	0.6242488138
315	0.6241167717
316	0.6239215229
317	0.6237072105
318	0.6235701932
319	0.6234362904
320	0.6231606578
321	0.6229193353
322	0.6227184152
323	0.6226060718
324	0.6223285789
325	0.6221126477
326	0.6219886915
327	0.6218536164
328	0.6217659958
329	0.6216843351
330	0.6215285536
331	0.6214538152
332	0.6211906152
333	0.6210972773
334	0.6209994433
335	0.6206970833
336	0.6205944595
337	0.6204028892
338	0.6202306282
339	0.6200528315
340	0.6199361737
341	0.6197393415
342	0.6195630232
343	0.6194643269
344	0.619401386
345	0.6192025225
346	0.6190457977
347	0.6188506845
348	0.6187405614
349	0.6186393032
350	0.6184809696
351	0.6183313032
352	0.6181652383
353	0.6180490049
354	0.61798854
355	0.61791633
356	0.6177250185
357	0.6174606756
358	0.6172981131
359	0.6171940783
360	0.6170456293
361	0.6168886512
362	0.6168161435
363	0.6166193111
364	0.616468161
365	0.6163745208
366	0.6162243769
367	0.6161273097
368	0.6159400154
369	0.6157086028
370	0.6156070508
371	0.6153763697
372	0.6152766185
373	0.615073882
374	0.6148916553
375	0.6147419381
376	0.6145167887
377	0.6142109922
378	0.6141285049
379	0.6139281676
380	0.6137526732
381	0.613565904
382	0.6134442653
383	0.613348533
384	0.6132424322
385	0.6130702246
386	0.612966885
387	0.6128267868
388	0.6126508936
389	0.6124393121
390	0.612264399
391	0.612023486
392	0.6118646111
393	0.6116740994
394	0.611531004
395	0.6113654751
396	0.6112905793
397	0.6111805054
398	0.6110157695
399	0.6108109623
400	0.6106157097
401	0.6104367562
402	0.6102313796
403	0.6099655229
404	0.6097894903
405	0.6096551387
406	0.6095710095
407	0.6093841639
408	0.609279152
409	0.609072053
410	0.6090371129
411	0.6088568845
412	0.6086593706
413	0.6085050784
414	0.6083708494
415	0.6081886837
416	0.6080347828
417	0.6078909492
418	0.6077720342
419	0.6076295594
420	0.60749486
421	0.6073052316
422	0.6071084734
423	0.6069383672
